feature,weight
nlp:tfidf__( each deal,0.0
nlp:tfidf__attack block you,0.0
nlp:tfidf__& {1} {u},0.0
nlp:tfidf__& search your,0.0
nlp:tfidf__& {2} {r},0.0
nlp:tfidf__whenev cardnam becom,0.0
nlp:tfidf__land . (,0.0
nlp:tfidf__( rather cast,0.0
nlp:tfidf__+1/+1 counter creatur,0.0
nlp:tfidf__: return target,0.0
nlp:tfidf__& fli &,0.0
nlp:tfidf__: add {c},0.0
nlp:tfidf__& put +1/+1,0.0
nlp:tfidf__& {2} {u},0.0
nlp:tfidf__attack creatur you,0.0
nlp:tfidf__draw card you,0.0
nlp:tfidf__cardnam get +1/+0,0.0
nlp:tfidf__1/1 green saprol,0.0
nlp:tfidf__. ( your,0.0
nlp:tfidf__attack block creatur,0.0
nlp:tfidf__{2} {u} (,0.0
nlp:tfidf__+x/+x end turn,0.0
nlp:tfidf__{w} {w} (,0.0
nlp:tfidf__& [ 3],0.0
nlp:tfidf__card . &,0.0
nlp:tfidf__cardnam becom untap,0.0
nlp:tfidf__counter . &,0.0
nlp:tfidf__( you cast,0.0
nlp:tfidf__& draw card,0.0
nlp:tfidf__card . activ,0.0
nlp:tfidf__get +1/+0 each,0.0
nlp:tfidf__creatur control .,0.0
nlp:tfidf__. creatur card,0.0
nlp:tfidf__& return target,0.0
nlp:tfidf__dealt damag cardnam,0.0
nlp:tfidf__. & fli,0.0
nlp:tfidf__& equip {2},0.0
nlp:tfidf__enchant creatur &,0.0
nlp:tfidf__enchant player &,0.0
nlp:tfidf__. ( artifact,0.0
nlp:tfidf__creatur get -1/-1,0.0
nlp:tfidf__end combat .,0.0
nlp:tfidf__: add {g},0.0
nlp:tfidf__. you return,0.0
nlp:tfidf__graveyard battlefield you,0.0
nlp:tfidf__battlefield you gain,0.0
nlp:tfidf__enter battlefield target,0.0
nlp:tfidf__+1/+0 end turn,0.0
nlp:tfidf__card your hand,0.0
nlp:tfidf__food token .,0.0
nlp:tfidf__three card your,0.0
nlp:tfidf__& {2} {b},0.0
nlp:tfidf__each player draw,0.0
nlp:tfidf__artifact creatur card,0.0
nlp:tfidf__: look top,0.0
nlp:tfidf__. put rest,0.0
nlp:tfidf__. & threshold,0.0
nlp:tfidf__: tap target,0.0
nlp:tfidf__& damag would,0.0
nlp:tfidf__arcan spell you,0.0
nlp:tfidf__( artifact {t},0.0
nlp:tfidf__& {t} remov,0.0
nlp:tfidf__. card enter,0.0
nlp:tfidf__{2} {r} (,0.0
nlp:tfidf__( you discard,0.0
nlp:tfidf__& {x} {t},0.0
nlp:tfidf__creatur owner hand,0.0
nlp:tfidf__. & spell,0.0
nlp:tfidf__& {2} :,0.0
nlp:tfidf__( {1} {u},0.0
nlp:tfidf__. cardnam deal,0.0
nlp:tfidf__assign combat damag,0.0
nlp:tfidf__-1/-1 end turn,0.0
nlp:tfidf__creat 1/1 white,0.0
nlp:tfidf__& whenev player,0.0
nlp:tfidf__card chosen name,0.0
nlp:tfidf__token you control,0.0
nlp:tfidf__. you cast,0.0
nlp:tfidf__basic land card,0.0
nlp:tfidf__. you control,0.0
nlp:tfidf__& whenev one,0.0
nlp:tfidf__: next time,0.0
nlp:tfidf__& whenev anoth,0.0
nlp:tfidf__cast each artifact,0.0
nlp:tfidf__{b} {t} :,0.0
nlp:tfidf__cast cost {2},0.0
nlp:tfidf__. & destroy,0.0
nlp:tfidf__. each creatur,0.0
nlp:tfidf__. & exil,0.0
nlp:tfidf__. you gain,0.0
